Date,AMD,OXY,XLF,BABA,F,BAC,CCL,AMC,DAL,FB,AMZN,GLD,TSLA,GOOG,USO,UNH,MMM,AAL,MULN,QQQ,AAPL,XLE,FXI,JPM,V
2018-01-01,13.74,64.900764,27.397306,204.289993,9.46457,29.212917,65.913818,10.430466,53.549736,186.889999,1450.890015,127.650002,70.862,1169.939941,103.839996,222.232788,218.483643,52.943863,7.32,164.870193,39.982342,60.957558,48.101372,102.605919,120.929955
2018-02-01,12.11,56.789257,26.595846,186.139999,9.257274,29.304205,61.587685,12.223202,50.842533,178.320007,1512.449951,125,68.612,1104.72998,98.959999,212.265274,205.409531,52.875637,5.83,162.738815,42.53513,54.352787,43.124111,102.988831,119.67424
2018-03-01,10.05,56.235203,25.398247,183.539993,9.667352,27.377983,60.756409,11.449066,51.999256,159.789993,1447.339966,125.790001,53.226002,1031.790039,104.720001,200.852341,192.592194,50.741047,6.96,155.848129,40.229286,54.898434,43.142376,98.057846,116.645149
2018-04-01,10.88,67.682632,25.379751,178.539993,9.806952,27.416567,58.421768,14.40493,49.542076,172,1566.130005,124.589996,58.779999,1017.330017,110.400002,222.610748,170.544785,41.922886,7.93,156.890533,39.625057,60.538544,42.859261,96.996758,123.724594
2018-05-01,13.73,73.762344,25.130117,198.009995,10.212634,26.610199,57.699131,12.217362,51.278229,191.779999,1629.619995,123.099998,56.945999,1084.98999,108.400002,227.422699,173.036407,42.518581,6.71,165.790802,44.806568,62.35117,42.649212,95.902344,127.469086
2018-06-01,14.99,73.306801,24.584606,185.529999,9.788214,25.936863,53.508331,13.125407,47.278862,194.320007,1699.800049,118.650002,68.589996,1115.650024,120.480003,231.029251,173.769394,37.15617,7.35,167.331055,44.555717,62.285557,39.242756,93.384048,129.363617
2018-07-01,18.33,74.186356,25.953985,187.229996,8.877476,28.411858,55.31031,13.641843,51.936115,172.580002,1777.439941,115.989998,59.627998,1217.26001,114.239998,239.293106,187.549377,38.702713,7.15,172.378448,45.802532,63.680645,40.364388,103.018181,133.55368
2018-08-01,25.17,70.597687,26.306849,175.009995,8.500157,28.457863,57.411049,15.943378,56.191364,175.729996,2012.709961,113.510002,60.332001,1218.189941,117.68,253.694901,186.312759,39.622807,6.21,182.343109,54.790226,61.467693,39.226181,103.244614,143.467148
2018-09-01,30.889999,72.630684,25.610409,164.759995,8.29393,27.105352,60.024891,17.156921,55.566803,164.460007,2003,112.760002,52.953999,1193.469971,124.160004,251.408035,187.374786,40.560379,5.39,181.50293,54.525864,62.541138,39.624092,101.67675,146.812881
2018-10-01,18.209999,59.885853,24.511507,142.279999,8.562922,25.424322,52.748863,17.558798,52.588123,151.789993,1598.01001,115.150002,67.463997,1076.77002,110.32,247.80928,169.189545,34.426765,4.57,166.200027,52.864048,55.837662,36.357559,98.234657,134.840134
2018-11-01,21.299999,62.743092,25.155073,160.860001,8.588964,26.25639,56.749271,12.444319,58.334091,140.610001,1690.170044,115.540001,70.096001,1094.430054,85.839996,266.782593,184.893753,39.412167,7.13,165.759552,43.134708,54.964676,38.883801,100.891602,138.615906
2018-12-01,18.459999,54.805325,22.217054,137.070007,6.982526,22.780191,46.795429,11.195329,48.248432,131.089996,1501.969971,121.25,66.559998,1035.609985,77.279999,236.967712,170.595642,31.599047,5.72,150.971664,38.233894,47.681496,36.163235,88.578453,129.29097
2019-01-01,24.41,60.323784,24.345243,168.490005,8.032187,26.468204,54.654789,13.541105,47.793987,166.690002,1718.72998,124.75,61.403999,1116.369995,90.800003,257.01947,179.334045,35.200806,6,165.046234,40.342651,53.523502,40.364166,93.913864,132.299286
2019-02-01,23.530001,59.7547,24.889591,183.029999,8.144261,27.035315,54.825642,12.968034,47.939026,161.449997,1639.829956,123.989998,63.976002,1119.920044,95.599998,230.404312,185.6819,35.063034,6.2,169.983093,41.969059,54.757111,40.822636,95.463203,145.146057
2019-03-01,25.52,59.799858,24.129385,182.449997,8.153547,25.781038,48.555832,13.725967,50.289532,166.690002,1780.75,122.010002,55.972,1173.310059,100,235.198502,187.317245,31.339825,5.9,176.333313,46.238594,55.487202,41.421455,92.600044,153.321182
2019-04-01,27.629999,53.826191,26.431618,185.570007,9.704392,28.574991,52.519184,14.204455,56.754639,193.399994,1926.52002,121.199997,47.737999,1188.47998,106.32,222.546875,170.846527,33.727806,5.65,186.368912,48.848106,55.913937,41.6273,106.156609,161.40979
2019-05-01,27.41,45.498123,24.535561,149.259995,8.982578,24.855949,49.005779,11.224892,50.143486,177.470001,1775.069946,123.330002,37.032001,1103.630005,88.800003,230.882721,144.017395,26.869753,3.94,171.039719,42.616436,49.705978,37.772404,97.668472,158.36676
2019-06-01,30.370001,45.964344,26.035425,169.449997,9.652497,27.098587,44.991192,8.741923,55.588982,193,1893.630005,133.199997,44.692001,1080.910034,96.32,232.99292,157.606033,32.271446,4.57,183.615738,48.364227,53.884079,40.017975,103.051476,170.624359
2019-07-01,30.450001,47.71051,26.784359,173.110001,8.992013,28.823347,45.648418,11.287916,59.791214,194.229996,1866.780029,133.210007,48.321999,1216.680054,96.32,238.820084,158.860809,30.193247,3.68,188.318237,52.058983,53.513897,38.845898,106.922813,174.999329
2019-08-01,31.450001,40.390434,25.523359,175.029999,8.781476,25.845186,42.603905,10.600908,57.04018,185.669998,1776.290039,143.75,45.122002,1188.099976,91.68,224.424316,147.040817,26.036852,4.79,184.741104,51.008232,49.05867,36.974495,101.980194,177.771774
2019-09-01,28.99,41.310085,26.547329,167.229996,8.7719,27.404728,42.711048,10.209696,56.783859,178.080002,1735.910034,138.869995,48.174,1219,90.720001,208.426926,150.845322,26.78388,4.57,186.061569,54.937809,50.526684,37.617199,109.248581,169.354324
2019-10-01,33.93,38.28754,27.349735,176.669998,8.22605,29.571272,41.909786,9.09192,54.299568,191.649994,1776.660034,142.429993,62.984001,1260.109985,90.400002,243.501984,151.386658,29.852556,4.13,194.602859,61.018574,49.92078,38.893166,115.960007,176.098572
2019-11-01,39.150002,36.462967,28.731516,200,8.818524,31.509901,44.04974,7.937237,56.917168,201.639999,1800.800049,137.860001,65.987999,1304.959961,92.959999,269.683044,155.772568,28.541666,3.92,202.522049,65.554008,50.721786,38.694679,123.289169,181.661316
2019-12-01,45.860001,38.958755,29.331879,212.100006,9.052128,33.30669,50.243595,7.195854,58.079147,205.25,1847.839966,142.899994,83.666,1337.02002,102.480003,283.279449,163.275696,28.574404,3.21,209.937668,72.245934,51.712284,41.237144,130.438004,185.308853
2020-01-01,47,38.326313,28.695799,206.589996,8.58492,31.216026,43.027809,6.480244,55.357929,201.910004,2008.719971,149.330002,130.113998,1434.22998,86.720001,263.54245,146.838913,26.741179,3.2,216.785431,76.147949,47.866711,38.268368,123.850586,196.226227
