Date,AMD,OXY,XLF,BABA,F,BAC,CCL,AMC,DAL,FB,AMZN,GLD,TSLA,GOOG,USO,UNH,MMM,AAL,MULN,QQQ,AAPL,XLE,FXI,JPM,V
2021-01-01,85.639999,19.984137,28.448484,253.830002,10.423653,28.948441,18.67,13.26,37.959999,258.329987,3206.199951,172.610001,793.530029,1835.73999,35.18,327.984192,168.625778,17.17,12.59,313.051849,130.984589,37.564899,48.648792,124.770065,191.758194
2021-02-01,84.510002,26.509365,31.750275,237.759995,11.581836,33.888718,26.75,8.01,47.939999,257.619995,3092.929932,161.809998,675.5,2036.859985,41.310001,326.647034,168.049774,20.940001,10.28,312.633881,120.363693,46.000759,48.362968,143.737076,210.750427
2021-03-01,78.5,26.519325,33.460136,226.729996,12.126281,37.77454,26.540001,10.21,48.279999,294.529999,3094.080078,159.960007,667.929993,2068.629883,40.529999,365.828552,186.488373,23.9,10.92,317.599945,121.428291,46.87014,45.987694,148.679062,210.421692
2021-04-01,81.620003,25.272585,35.789776,230.949997,11.423451,39.767548,27.959999,10.03,46.919998,325.079987,3467.419922,165.660004,709.440002,2410.120117,43.27,393.503174,190.805069,21.719999,11.38,336.794342,130.683289,47.68605,45.613171,150.222214,232.116791
2021-05-01,80.080002,25.870514,37.497345,213.960007,14.383254,41.59256,29.559999,26.120001,47.68,328.730011,3223.070068,178.380005,625.219971,2411.560059,45.419998,406.448944,196.515472,24.24,10.33,332.748688,123.873756,50.40876,45.57375,161.353668,225.895493
2021-06-01,93.93,31.162212,36.214199,226.779999,14.709921,40.45438,26.360001,56.68,43.259998,347.709991,3440.159912,165.630005,679.700012,2506.320068,49.880001,395.121429,193.661896,21.209999,12.92,353.176147,136.382065,52.01149,45.662453,152.806564,232.712738
2021-07-01,106.190002,26.018948,36.189194,195.190002,13.809112,37.79681,21.65,37.02,39.900002,356.299988,3327.590088,169.820007,687.200012,2704.419922,50.66,408.23465,192.989166,20.379999,12.15,363.701721,145.244492,48.173397,40.087238,149.112656,245.223221
2021-08-01,110.720001,25.61022,38.052162,166.990005,12.898404,41.137039,24.139999,47.130001,40.439999,379.380005,3470.790039,169.690002,735.719971,2909.23999,48.040001,412.245483,189.869217,19.940001,10.94,379.045135,151.189301,47.207783,40.482769,158.044586,228.015091
2021-09-01,102.900002,29.488138,37.190041,148.050003,14.016992,41.826763,25.01,38.060001,42.610001,339.390015,3285.040039,164.220001,775.47998,2665.310059,52.560001,386.962341,172.338013,20.52,8.24,357.107483,141.113998,50.806889,38.49522,161.740036,221.997375
2021-10-01,120.230003,33.439293,40.068035,164.940002,16.907501,47.319763,22.16,35.369999,39.130001,323.570007,3372.429932,166.649994,1114,2965.409912,57.150002,457.618835,175.540741,19.200001,9.29,385.617462,149.391357,56.735374,39.879585,167.86618,211.054489
2021-11-01,158.369995,29.569792,37.779003,127.529999,18.996193,44.041649,17.620001,33.939999,36.200001,324.459991,3507.070068,165.5,1144.76001,2849.040039,47.91,441.469452,167.052536,17.690001,7.92,393.317657,164.849091,53.892185,37.763481,157.883621,193.115311
2021-12-01,143.899994,28.911577,38.863808,118.790001,20.663759,44.061459,20.120001,27.200001,39.080002,336.350006,3334.340088,170.960007,1056.780029,2893.590088,54.360001,499.030823,175.929382,17.959999,5.23,397.342499,177.344055,54.790554,36.171467,157.406494,216.358002
